time	RMSD_R1	RMSD_R2	RMSD_R3
0.0	0.0	0.0	0.0
0.1	1.18	1.87	1.88
0.2	2.07	2.06	2.42
0.3	1.65	2.11	2.74
0.4	1.34	2.17	2.63
0.5	1.49	2.72	2.28
0.6	1.35	1.99	2.3
0.7	1.69	3.24	2.67
0.8	2.06	2.72	2.59
0.9	1.75	2.45	2.38
1.0	1.87	2.35	2.4
1.1	2.29	3.08	2.27
1.2	2.95	2.69	2.3
1.3	1.81	2.72	2.28
1.4	2.1	3.1	2.16
1.5	1.79	2.85	2.58
1.6	1.75	2.26	2.33
1.7	2.43	2.74	2.33
1.8	1.9	2.64	2.11
1.9	2.68	2.47	2.52
2.0	3.23	2.47	2.52
2.1	2.64	2.51	3.04
2.2	2.11	2.51	2.99
2.3	2.19	2.09	3.17
2.4	2.17	2.48	3.61
2.5	2.42	2.59	3.58
2.6	2.49	2.17	2.63
2.7	2.24	2.45	3.06
2.8	2.06	2.46	3.08
2.9	1.82	2.84	3.41
3.0	2.84	2.86	2.9
3.1	2.82	2.43	4.08
3.2	2.54	2.2	3.41
3.3	3.14	2.6	4.12
3.4	2.63	2.47	3.58
3.5	2.09	2.33	3.49
3.6	1.86	2.83	3.8
3.7	2.72	3.48	3.56
3.8	2.64	3.09	3.43
3.9	2.37	2.73	3.43
4.0	2.31	2.25	3.87
4.1	1.6	2.53	3.87
4.2	2.04	2.36	3.59
4.3	2.33	2.91	3.04
4.4	2.44	2.19	3.55
4.5	2.38	2.92	3.26
4.6	2.3	2.15	2.83
4.7	2.06	2.31	3.78
4.8	2.46	2.25	3.99
4.9	2.72	2.32	3.48
5.0	3.16	2.02	3.88
5.1	2.56	2.61	4.08
5.2	2.52	2.06	3.85
5.3	2.97	2.09	3.72
5.4	2.4	2.82	3.12
5.5	2.18	2.84	3.32
5.6	2.66	3.01	3.64
5.7	1.96	3.11	3.59
5.8	2.73	3.3	3.75
5.9	2.57	3.11	4.0
6.0	2.56	3.26	3.84
6.1	2.09	3.26	3.58
6.2	1.62	3.2	2.67
6.3	2.09	3.62	3.05
6.4	2.49	3.49	2.89
6.5	2.82	3.14	2.37
6.6	2.58	3.47	2.62
6.7	2.65	2.94	2.55
6.8	3.11	2.96	2.61
6.9	2.57	3.41	2.91
7.0	2.59	2.81	2.47
7.1	2.68	3.09	2.35
7.2	3.17	2.89	2.38
7.3	3.04	2.94	2.6
7.4	3.71	2.93	2.72
7.5	3.43	2.88	2.19
7.6	3.36	2.83	2.18
7.7	2.46	2.96	2.34
7.8	3.01	3.02	3.0
7.9	2.13	2.87	1.81
8.0	2.65	2.91	2.48
8.1	2.32	3.07	2.65
8.2	2.9	2.98	2.62
8.3	2.64	2.34	3.25
8.4	2.51	2.22	2.63
8.5	2.34	2.77	2.84
8.6	2.61	2.51	2.28
8.7	2.63	3.04	2.36
8.8	2.47	3.35	2.71
8.9	2.68	2.97	2.52
9.0	2.77	2.77	2.37
9.1	2.6	3.33	2.43
9.2	2.18	3.38	2.84
9.3	2.29	3.69	2.77
9.4	1.81	3.9	2.35
9.5	2.21	3.81	2.04
9.6	2.66	3.03	2.29
9.7	2.53	2.54	2.15
9.8	3.23	2.49	2.12
9.9	2.85	3.35	1.98
10.0	2.88	2.15	2.39
10.1	3.23	2.0	2.56
10.2	2.83	2.39	2.06
10.3	2.93	2.14	1.92
10.4	2.73	2.44	1.95
10.5	2.55	1.87	2.05
10.6	2.63	2.48	2.43
10.7	2.22	2.49	2.52
10.8	2.77	2.48	2.52
10.9	3.16	2.4	2.18
11.0	2.45	3.0	2.36
11.1	2.68	2.87	2.28
11.2	2.8	2.61	2.25
11.3	2.76	3.16	2.31
