time	gyr_R1	gyr_R2	gyr_R3
0.1	23.83	24.09	24.15
0.2	24.26	24.16	24.23
0.3	23.93	24.15	24.32
0.4	23.77	24.29	24.31
0.5	23.92	24.51	24.26
0.6	23.88	24.04	24.0
0.7	24.1	24.61	24.18
0.8	24.32	24.3	24.19
0.9	24.04	24.36	24.12
1.0	24.16	24.35	24.01
1.1	24.47	24.6	24.07
1.2	24.76	24.4	24.19
1.3	24.18	24.51	23.97
1.4	24.4	24.69	24.12
1.5	24.1	24.6	24.14
1.6	24.15	24.28	23.93
1.7	24.52	24.46	23.96
1.8	24.07	24.44	23.86
1.9	24.47	24.34	24.04
2.0	24.79	24.26	23.95
2.1	24.52	24.43	24.18
2.2	24.21	24.37	24.2
2.3	24.37	24.32	24.1
2.4	24.32	24.43	24.23
2.5	24.33	24.47	24.36
2.6	24.3	24.13	23.9
2.7	24.41	24.36	24.26
2.8	24.33	24.34	24.25
2.9	24.16	24.42	24.24
3.0	24.5	24.51	24.14
3.1	24.43	24.29	24.43
3.2	24.24	24.04	24.4
3.3	24.47	24.08	24.76
3.4	24.36	24.21	24.58
3.5	24.16	24.26	24.41
3.6	24.02	24.56	24.45
3.7	24.22	24.68	24.62
3.8	24.33	24.61	24.47
3.9	24.06	24.42	24.51
4.0	23.84	24.2	24.54
4.1	23.93	24.09	24.49
4.2	24.22	24.33	24.41
4.3	24.23	24.58	24.33
4.4	23.99	24.19	24.37
4.5	24.18	24.31	24.29
4.6	24.24	24.21	24.32
4.7	24.06	24.32	24.47
4.8	24.25	24.19	24.6
4.9	24.39	24.34	24.4
5.0	24.53	24.17	24.7
5.1	24.16	24.26	24.49
5.2	24.12	24.08	24.42
5.3	24.23	24.19	24.44
5.4	24.09	24.4	24.43
5.5	24.16	24.48	24.49
5.6	24.17	24.57	24.58
5.7	24.07	24.62	24.59
5.8	24.08	24.67	24.45
5.9	23.86	24.63	24.56
6.0	24.15	24.73	24.62
6.1	23.96	24.74	24.55
6.2	23.78	24.7	24.24
6.3	23.99	24.91	24.43
6.4	24.05	24.92	23.99
6.5	23.98	24.76	23.96
6.6	24.18	24.85	24.15
6.7	24.49	24.54	24.07
6.8	24.45	24.57	23.9
6.9	24.14	24.82	23.93
7.0	24.25	24.51	23.82
7.1	24.22	24.7	23.82
7.2	24.5	24.61	23.82
7.3	24.12	24.54	23.97
7.4	24.42	24.55	24.1
7.5	24.33	24.47	23.94
7.6	24.34	24.48	23.96
7.7	24.2	24.38	23.76
7.8	24.07	24.52	23.71
7.9	24.02	24.59	23.8
8.0	23.93	24.52	23.86
8.1	23.91	24.7	23.76
8.2	24.04	24.53	23.95
8.3	23.87	24.22	24.01
8.4	23.99	24.13	23.96
8.5	24.02	24.43	24.09
8.6	24.03	24.28	23.87
8.7	24.07	24.65	23.96
8.8	24.03	24.72	24.08
8.9	23.99	24.62	23.87
9.0	23.94	24.54	23.91
9.1	24.16	24.65	23.99
9.2	23.92	24.87	23.78
9.3	24.1	24.99	23.81
9.4	23.85	24.97	23.75
9.5	23.79	24.96	23.78
9.6	24.11	24.68	23.98
9.7	24.05	24.5	23.85
9.8	23.98	24.4	23.86
9.9	23.77	24.68	23.81
10.0	24.08	24.19	24.04
10.1	23.97	24.08	23.87
10.2	23.86	24.25	23.79
10.3	23.99	24.05	23.79
10.4	23.95	24.2	23.72
10.5	23.8	24.15	23.96
10.6	23.86	24.46	24.05
10.7	23.77	24.27	23.96
10.8	23.99	24.31	24.04
10.9	24.07	24.35	23.79
11.0	23.99	24.8	23.97
11.1	23.97	24.52	23.76
11.2	24.12	24.35	23.73
11.3	24.04	24.63	23.82
11.4	24.03	24.59	23.94
11.5	24.04	24.09	23.65
11.6	24.21	24.04	23.63
11.7	24.12	24.12	23.69
11.8	24.05	23.98	23.81
11.9	24.03	24.18	23.91
12.0	24.07	24.59	23.74
12.1	23.86	24.84	23.7
12.2	23.86	24.37	23.73
12.3	23.82	24.31	23.96
12.4	24.24	24.21	23.93
12.5	24.04	24.05	23.72
12.6	23.79	24.24	23.73
12.7	24.2	24.14	23.72
12.8	24.17	24.32	23.62
12.9	24.27	24.24	23.43
13.0	23.96	24.1	23.42
13.1	24.2	24.41	23.5
13.2	24.11	24.37	23.56
13.3	24.08	24.36	23.52
13.4	24.26	24.19	23.68
13.5	24.36	24.41	23.47
13.6	24.18	24.38	23.35
13.7	24.15	24.39	23.61
13.8	24.25	24.38	23.78
13.9	24.53	24.58	23.49
14.0	24.17	24.3	23.62
14.1	24.04	24.17	23.49
14.2	24.26	24.21	23.44
14.3	24.19	24.21	23.52
14.4	23.95	24.39	23.67
14.5	24.23	24.34	23.71
14.6	24.0	24.16	23.63
14.7	24.14	24.35	23.63
14.8	24.31	24.19	23.77
14.9	24.19	24.14	23.5
15.0	24.0	24.37	23.7
15.1	24.07	24.24	23.72
15.2	24.25	24.37	23.64
15.3	24.17	24.33	23.52
15.4	24.19	24.09	23.59
15.5	24.37	24.24	23.52
15.6	24.32	24.14	23.45
15.7	24.3	24.21	23.64
15.8	24.22	24.32	23.76
15.9	24.11	24.26	23.74
16.0	24.24	24.12	23.8
16.1	24.18	24.04	23.77
16.2	24.14	24.11	23.88
16.3	24.08	24.01	23.74
16.4	24.32	24.06	23.67
16.5	24.19	24.16	23.98
16.6	24.29	24.41	23.91
16.7	24.2	24.02	23.63
16.8	24.22	23.77	23.68
16.9	24.31	23.63	23.47
17.0	24.0	23.85	23.3
17.1	24.18	23.95	23.53
17.2	24.22	23.98	23.79
17.3	24.36	24.24	23.72
17.4	24.23	24.05	23.49
17.5	24.0	24.53	23.54
17.6	24.11	24.24	23.52
17.7	24.11	24.03	23.55
17.8	24.1	24.09	23.58
17.9	24.18	24.24	23.47
18.0	23.94	23.99	23.63
18.1	24.44	23.96	23.65
18.2	24.34	24.16	23.36
18.3	24.28	24.11	23.41
18.4	24.49	24.15	23.51
18.5	24.09	23.96	23.88
18.6	24.19	23.93	23.83
18.7	24.04	24.04	23.74
18.8	24.35	24.27	23.82
18.9	24.27	24.13	23.45
19.0	24.23	23.95	23.55
19.1	24.09	24.08	23.52
19.2	23.98	24.28	23.55
19.3	23.81	24.22	23.71
19.4	23.8	24.01	23.4
19.5	24.27	24.12	23.51
19.6	24.16	24.15	23.37
19.7	24.16	24.15	23.32
