frequency,power_R1,power_R2,power_R3
0,1,1,1
1,0.0113191959779556,0.0999935826405809,0.0484471888405889
2,0.0163012727020719,0.00629310912781795,0.0183928402768261
3,0.0018523288259107,0.00334500857965023,0.00222729615348438
4,0.00976407263296272,0.00243459044121554,0.00135297210653018
5,0.000486582208183075,0.00399430688579124,0.00285654450473169
6,0.000280669042598593,0.00472052770463138,0.00356993874404159
7,0.00149069283124668,0.000732816644508061,0.000628494710684985
8,0.00164314734825255,0.00583523854425462,0.00137700269335041
9,0.000369024344217037,0.00102645613619935,0.00240379686585367
10,0.00132563263368516,0.000600597876300582,0.00255865670439966
11,0.0004252287708368,0.000322251394122849,0.00084984365855882
12,0.00029746377420944,8.4218013337891e-05,0.000647687851702947
13,0.000151859077521774,0.000950623014618468,0.000526205023363908
14,0.000453354889367973,0.000723695515098597,0.00250831766355029
15,0.000443787899162472,0.000455337640956064,0.00103542157214787
16,0.000152696921982608,0.000128691415552877,0.00171566813447834
17,0.000369190843337285,0.000302087733580686,0.000571889563543926
18,0.000409135282604441,0.000363643058229294,0.00122547740635405
19,0.000867369405613926,0.000249523771397569,0.000907204136327874
20,0.00102197108324157,0.000179068092168596,0.000210285732364127
21,0.000531583203260934,0.000385082786711023,9.92177978611275e-05
22,0.000262870694917932,0.000219050204450247,6.50723381172619e-05
23,3.22083368145029e-05,0.000313912432282646,0.000151047513023664
24,6.7369659056063e-05,8.88206953051601e-05,7.54221886137927e-05
25,0.000135437388156435,0.00025820512664922,3.48338361392244e-05
26,0.00038778704096602,5.36706026961269e-05,0.000102520490483269
27,9.36656592242062e-05,0.000150637944461104,0.000134224805418786
28,0.000118781836292413,3.29142038789124e-06,4.45057204772482e-05
29,7.3443827722294e-05,5.90054339031563e-05,0.000368345410671234
30,0.00022017503197981,8.51130611014129e-05,7.47381711747407e-05
31,0.000160504544059461,0.000337298171173298,6.0163413011029e-05
32,6.30935710310179e-05,8.12115980244157e-05,0.000517487734831852
33,0.000140917031591631,2.63442487559772e-05,0.000126000081066623
34,0.000184968533749301,3.046801739116e-05,0.000182806974189185
35,0.000167316577181245,0.000155764400261267,0.000129637650407773
36,1.26464561544447e-05,0.000131739513642507,0.000184234431412212
37,2.82149020512838e-05,0.000236386850719784,0.00024347702059898
38,0.000224758557581325,2.78723107408753e-06,0.000350354425039388
39,0.000475897198991758,1.08355831414436e-05,4.94216181259807e-05
40,0.000730458960501505,0.000188771149877431,0.000129942966589749
41,0.000649671207158304,3.73656357257362e-05,0.000126486436977456
42,0.000104011178154464,0.000302126274918592,4.01733822453488e-05
43,0.000377622245255403,0.00015221623276612,4.07608392473769e-05
44,0.000116167183334834,7.67793217377408e-06,3.5416003252752e-05
45,2.6386964213072e-05,1.69255363286722e-05,0.000404332540906119
46,1.66837775476543e-05,2.9640519453935e-05,0.000177768113214794
47,3.31051394375118e-05,3.6737980250111e-05,0.000359608687072276
48,1.07201447910952e-05,5.00612225446599e-05,0.00014003585475552
49,7.20239744302669e-05,2.61101924806817e-05,0.000113150824546264
50,3.64502937842713e-05,2.04455952516876e-05,1.76939996853654e-05
51,6.57142177806084e-05,0.000141965945253532,0.000252828682829562
52,0.00020729678365692,6.85270414166473e-05,0.000160009236598446
53,4.98420009626213e-05,5.63795024138419e-05,0.000159806919227896
54,3.56476468497967e-05,9.7321674148222e-05,0.000431271367746818
55,6.77694606582754e-05,6.16109925050708e-06,0.000431030839030565
56,1.81307102352567e-05,3.35098709755836e-05,0.000107277649604867
57,1.45817614446532e-05,2.68223577380664e-05,2.14780253017521e-05
58,8.3974878211185e-05,0.000108159110689311,2.12270559018605e-05
59,7.05048184418081e-05,9.45552760166635e-05,9.25335495451985e-05
60,0.000144834638572853,5.11936327371295e-05,0.000163941431697425
61,0.000121605454784992,3.24817411798608e-05,6.43361229954579e-05
62,4.30749579076726e-06,7.00360886615597e-05,0.000164157377731309
63,3.84063699658779e-05,7.84923201465315e-05,1.77861488598626e-05
64,3.55853314056241e-06,1.46743232310599e-05,0
65,5.84280826938019e-05,5.49990477185175e-06,0.000198744049458114
66,6.97082008638173e-05,6.26543246642865e-05,0.000244856588022944
67,7.86654461979214e-06,1.53849912451582e-05,7.79588660569536e-05
68,8.67006705776608e-05,5.64225402016809e-05,0.000134306446898159
69,5.50269282735352e-05,3.00925607698368e-05,0.000140200510608443
70,3.14475183904179e-05,1.17971488500253e-05,0.000153479279066698
71,0.00015036613714246,1.91885525983155e-05,3.58408205750451e-05
