frame,R1,R2,R3
1,32.4873526229946,32.4873526229946,32.4873526229946
2,33.4020407981273,32.7956715179491,32.8387811185097
3,33.0511536757963,32.9852247488491,32.5594719162846
4,33.0742307090415,33.1480200406194,32.6951499463045
5,33.252973078501,33.1175189310473,33.0083196022978
6,32.6329473960874,32.8922627498905,32.9088776125959
7,32.6036668917848,33.187684673001,32.9898693869502
8,32.6762444331895,33.2121973711144,33.0914165372907
9,32.6389271023282,32.7888802594801,32.89669780154
10,32.4846634648588,32.7186376728725,32.7462591756309
11,32.3722437934662,33.3601424345101,33.0894504155128
12,32.6560821614307,32.9119971092291,33.2675118778707
13,32.5424824712975,32.8395204130192,33.2300657055017
14,32.701338335839,32.8074665811996,33.1675266634218
15,32.729877777665,32.4385749365636,33.3377187503364
16,33.4097651868952,33.1789609921322,33.0587154312201
17,33.1249547828936,33.2479541731525,32.6391019997072
18,32.9748915625585,33.2911832259172,33.3332259501509
19,33.0647047690991,33.2113899563452,32.8637175475181
20,33.4322436175428,33.7362455436302,33.1199168443522
21,32.7482642293727,33.4662231523682,33.0605482278974
22,33.1198540930992,33.0165416234894,33.0357065611518
23,32.9174412579615,33.1878510765238,32.9461926602562
24,32.8834033710533,33.1332168816614,33.2636259390554
25,33.1844756817262,32.9763404175128,33.3203996093125
26,33.2016228751394,33.5184844598918,33.3516853392879
27,32.958256481266,33.2613013343386,33.5987569802647
28,32.9295521155659,33.1692323296718,33.5281598060429
29,32.7882905759646,33.1788477592608,33.3436032324494
30,32.6982928852163,32.8298330475797,33.1399075380214
31,33.1191603331125,33.0331609213103,32.8431307010707
32,33.3177796806709,32.9372027290742,33.1436368880201
33,33.2731541538811,33.0404035084301,32.9227262878649
34,33.0772729293169,33.2588535418099,33.0091397234729
35,33.2737104644921,33.2339273796034,32.9448954159163
36,33.5642287527264,32.9335174419487,33.3565611586381
37,33.693244219569,33.1803910552725,33.2234845738793
38,33.368916924689,32.9495056649143,33.1104833375066
39,32.8734142684435,33.2633625789124,33.260990713165
40,33.3594792667176,32.8304804158669,33.8248526235726
41,33.4033072856062,33.3739947584217,33.6177485329404
42,33.2328763086808,33.2177366487017,33.2126755321459
43,33.6493816028566,32.5130038043725,33.3754537814174
44,33.2412513171584,33.0012920701887,33.6423571891889
45,33.3165847476771,33.1301818996065,33.5788154078622
46,33.2704159923211,32.5524891129726,33.7480769848075
47,33.5327773880895,33.1483969664172,33.4035278784621
48,33.6572966996872,32.6734240243934,33.1826378720074
49,33.1943677209894,32.7318444044924,33.4030460924723
50,33.1726550972195,33.428832098726,33.4189594846927
51,33.5518076427428,32.7528285627236,33.6732684937687
52,33.800942186599,33.0717364760338,33.1420625517285
53,33.6787012272624,33.016225587172,33.4641765688369
54,33.2921080199062,33.2506221010761,33.3021823970558
55,33.258461823489,33.077672059603,33.3012636307294
56,33.6051720605839,32.951465733542,33.0419643121553
57,33.6433561993195,32.6774954987951,33.5750400995349
58,33.308584558397,33.1144404293052,33.4108443341264
59,33.560679289403,32.2160066276757,33.3605937512813
60,33.6746102392649,32.4245007396137,33.4361363069223
61,33.4770061131595,32.8678226935078,33.5306855809522
62,33.2601353819354,32.4479108149754,33.547971279953
63,33.5264745169675,33.0013686310989,33.5587148554883
64,33.518642355001,32.6531337283983,33.8815692111697
65,33.733531256043,33.145092725231,34.3192538581699
66,33.7666697288856,33.1416525721668,33.5827271626042
67,33.756066008697,32.928870226492,34.0234883556269
68,33.3516445259222,33.6340751631613,33.849804832721
69,33.9247856181822,32.99320027799,33.9612478685519
70,33.9301391924541,33.3940084865276,34.2180207308508
71,33.6435910299667,33.776585885403,34.1906001339136
72,33.9022997888026,33.0162377628749,34.1320414154353
73,34.1676115083484,33.5647327394803,34.151418159626
74,33.7139411767227,33.6291317492409,34.1156844624084
75,33.88163982108,32.8718003932525,33.960534395604
76,34.1278987905434,33.634723655047,33.9677585503395
77,34.1107078603798,33.4719693007894,33.8733699681042
78,33.7448281286163,33.2864377187318,34.0184020037926
79,34.1319525154594,33.401438549647,34.2016715442445
80,33.7056484207029,33.6282095410597,34.0908979921023
81,33.553680857052,34.0220950181077,33.986181305011
82,34.0254414336711,33.4932681904417,34.2644169133281
83,34.0216128787022,33.7985252418328,33.8908732500262
84,33.5863203100322,33.8291684075064,33.8137521471648
85,33.5370874901096,33.6534815166161,33.7606435107519
86,33.5236700373801,33.2564016430188,33.77340708299
87,33.8402877207883,33.2468217745414,33.5801155598171
88,33.6045755787811,33.5791169506887,33.7454249187451
89,33.7015036840646,33.4849179338395,33.6844660982835
90,33.9869326427406,33.5408474830734,33.764066915555
91,33.5600974871874,33.7942556988345,33.6062546770687
92,33.8753969877153,34.072544623383,33.7862045737662
93,33.8794135562147,33.6824136150379,33.6056319433754
94,33.6976131048221,33.777076604371,33.7158952610214
95,33.6897381356691,33.658291126394,33.4423712756025
96,33.1683027127997,34.1181995843136,33.5327794431661
97,33.9286952229785,33.8410161568431,33.2468256721513
98,33.545888796145,33.6850565002104,34.3174770994454
99,33.5445007124372,33.6521482400226,33.7030541817364
100,33.7779732957642,33.4892402694336,33.7457814918836
101,33.6362015936465,33.5098969004983,33.843255949036
102,33.5447857604352,33.8110297240928,34.1144240993411
103,33.4951220962481,34.0342907958334,33.8446407448329
104,33.6450236008281,33.850467982147,33.5320680329015
105,33.1748589174708,33.8250077120754,33.4876769536537
106,33.4235107240786,33.4694285024189,33.3822013006786
107,33.7015012748623,33.2416059460932,33.2565501780303
108,33.4834600252694,33.5007543397093,33.7085661059319
109,33.7675384592166,33.4884057368725,33.2163133935322
110,33.8089446400045,33.8125093858354,33.5579668783403
111,33.5158823523643,33.4076598218287,33.4640061686795
112,33.1702895492072,33.0803627007161,32.9223907143719
113,33.5158322413123,33.1887842949675,33.1305881753994
114,33.5761110834152,33.0129409666868,33.3955125188034
115,33.3798145635832,33.0176631303883,33.7623105811521
116,33.2797751701125,32.97836615634,33.7071315249669
117,33.6216369432759,33.3190186887309,33.7412389033223
118,33.3209322754331,32.7593162028061,33.7425208891945
119,33.4416384761098,33.2399235993868,33.4848870721546
120,33.2922984497318,32.8585722945336,33.2376993450897
121,32.7997476520693,33.1574123717371,33.4467013479914
122,33.2967291494974,33.1517951179474,33.4461626505746
123,33.1854446307011,33.2650583441701,33.0537179661188
124,33.1023017415257,33.7424708564493,33.3341267502998
125,32.7503949134031,33.2558743436472,33.4122225174857
126,33.2276497000467,33.4824383715537,33.6947831502093
127,33.2166484832066,33.5366239553698,33.6600208119895
128,33.0226339699301,33.5485791943545,33.9418782739294
129,33.2803491494359,33.2388452315722,33.0960675246799
130,33.4578867892338,33.1616992572954,33.5311370273578
131,33.1897000560107,32.9738475181542,33.6412358959196
132,33.223345080478,33.1548261801293,33.8547838120489
133,33.2980623084472,32.98278390973,33.350877830177
134,33.2866338358585,33.3431471055715,33.6186333473689
135,33.0530801548305,33.3589855291064,34.1026596069333
136,32.7718710113777,33.0546198744089,33.6601105818679
137,32.8970709849223,33.4625292578929,33.7142422944097
138,33.0908116490431,32.7760703934467,33.4842000684582
139,32.9161027490045,33.4914175942919,33.8634323732093
140,33.5820179772379,33.6127074303707,33.133605419487
141,33.0280466949132,33.3486818189095,33.7842734631508
142,32.8334763693844,33.1047541658736,33.5638842247779
143,33.2522733183475,33.5213988568519,33.6004716951453
144,32.8668637393848,33.1737962134051,33.647193854706
145,33.2903209279099,33.1990549282919,33.496218665751
146,33.0703937960765,33.1395778928286,33.0551345745514
147,33.2554483266606,33.8342564159389,33.4327466552087
148,33.2739798652503,33.3720950978471,33.4473226879261
149,33.1941576465041,33.2540493580143,33.3932726323614
150,33.4084802804895,33.3438069371702,33.263018083729
151,33.4573171352767,33.3843520873364,33.368599274872
152,33.3327316249345,33.7981656137799,33.7391154605502
153,33.3502066728027,33.2719338682052,33.5583780861034
154,33.8200902550561,33.5225235485876,33.6377826559483
155,33.3042733397862,33.5961897801305,33.7051427929649
156,33.4114378866007,33.7815604065344,33.5481575684404
157,33.8026511509394,34.0921555199272,33.4803123114144
158,33.6450247429934,34.0093634442415,33.9994347348291
159,33.8058824784042,33.3284199249878,33.7661734244861
160,34.0305934645161,33.2975008947262,34.1300761660462
161,33.6263430329549,33.5118141932191,33.6833318155909
162,33.5905696592036,33.4969693716207,33.5477520495886
163,33.7686138080862,33.6793973281061,33.8116980826101
164,33.8011314635148,33.5875578660775,33.7544813843921
165,34.049871572458,33.2860890423262,33.5126231695565
166,33.8558351694611,33.3968590960753,33.6164528892693
167,33.6558860317205,33.5152644563973,33.7695192432814
168,33.8288703513484,33.5884211941705,33.2036863716558
169,33.9718829138877,33.6096193992071,33.1554333320259
170,33.8768345202482,33.0709886736155,33.5001062313651
171,33.9875136720796,33.5051020257729,33.1130109852912
172,34.2362913644978,33.8850553595962,33.4349342243363
173,33.9677020227929,33.4318681034086,33.5156197641398
174,34.0181812852033,33.5748483978686,33.4681917672559
175,33.8045637270509,33.5635303329706,33.2639175817965
176,33.7368284746768,32.8704175977173,33.1989041172662
177,34.009272451253,33.7752012025298,33.6626754982839
178,33.5084163853025,33.3562664728699,33.1263043313171
179,33.2869526813498,33.3829848776135,33.4475007702624
180,33.9411601028249,33.0367637294176,33.0784048448838
181,33.5078340606718,33.2182822612526,33.2018085549535
182,33.3715896262606,33.3196573005133,33.3983273023438
183,33.5859297714236,33.6036860920333,33.1916156962991
184,33.6603904448903,33.2868690857987,33.683355525256
185,34.1391573616754,33.7991209932337,33.8137685207947
186,33.8814812968145,33.7549145258568,33.7456482901191
187,33.9349433264842,33.8616037449945,34.1043759746702
188,33.9656454913028,33.3604221154814,34.0065455300719
189,34.0466986139978,33.6201706678967,33.944117237754
190,33.7362658279165,33.6788444620749,33.6017009667154
191,34.0956176524596,33.7187751483501,33.3579209393881
192,33.9089393608759,33.6495797671151,33.5217771013332
193,34.1039806090715,33.7074952042387,33.3044630586724
194,34.2529476786347,34.0332821838134,33.6843418252613
195,34.2463750143691,33.3705136788765,33.4287729792279
196,34.4771958801203,33.5556723974559,33.8915079967168
197,34.1562327055494,33.6821680845677,33.3526739788758
198,34.453467520182,33.5825353562072,33.7945092979313
199,34.0921175484962,33.6683174666851,33.6424156195644
200,34.0412426092251,33.3682331160896,33.4414025301464
201,33.9788270512535,33.0691673919085,33.5445296974892
202,34.2481797167405,33.6181466023425,33.8823650831764
203,34.1059182354427,32.9703375904385,34.2988204846138
204,33.9256143697774,33.438332558944,33.7629888260885
205,33.7830255299702,32.9753730297921,33.8917692454792
206,34.0135489744016,33.5787518591301,33.4452310282477
207,34.0639164332869,33.2977739771375,33.3823045850815
208,33.9966516688749,33.2296866288277,33.3342038581083
209,33.3508283036454,33.3194452372292,33.1352626952558
210,33.6065681013777,33.1213205833235,33.3284683189971
211,34.0110862194648,33.5838336681322,33.8482888304443
212,33.4141834591377,33.2307542571249,33.4496014528237
213,33.7148511180542,33.5191859413059,33.9284554175594
214,33.7138905945405,33.1990543180871,33.7555080671583
215,33.3158084748132,33.7005182560271,33.3977711213655
216,33.386605227516,33.1138986303973,33.4520994522436
217,33.8092747438923,33.172336808512,33.710369827893
218,33.4736682327987,33.4681808931981,33.5893483280032
219,34.2728924893704,33.3168587731058,33.3868814822361
220,33.9668027784613,33.2989681946179,33.6859342566763
221,33.8118362600875,33.3818044280901,33.598868323601
222,34.0153856829124,33.1653636005258,33.356286311751
223,34.1516976853273,33.2556515727158,33.4517793499599
224,33.5627089972899,33.2425740148055,33.3987745915024
225,33.3573794402091,33.2501590283569,33.2100056393968
226,33.318734440888,33.2519017702675,33.4965278506702
227,33.6559842068044,33.1070689946835,33.7740770808447
228,33.3577421790919,33.3143581976082,33.6261472134257
229,33.4574467284883,33.0461036510137,33.3613550862677
230,33.7725315676387,33.2912756257337,33.1283111579508
231,33.9699769195301,32.9433919384402,33.1259996651085
232,33.9243847517031,33.2886550661563,33.4784865640922
233,33.8576593105,33.1075274002119,33.0588460624293
234,34.0163992570281,33.1826102449483,33.1559150166018
235,33.6086412649777,33.0669361579014,33.5175182176769
236,33.9118945845875,32.9030158129759,33.2990996483371
237,33.8071588013054,33.1885581130544,33.3552837671381
238,33.475843525994,33.221935120577,33.2669908632863
239,33.7810521255342,33.262921731481,33.2249311063753
240,33.5585274996739,33.1588804992108,33.3394714730794
241,33.8886874996692,32.6806428665849,33.141310317914
242,33.9149134518652,32.9190574309181,33.1732879837925
243,33.692312038448,32.7845656746267,33.516252086035
244,33.9131815864301,33.3338081118309,33.3566826880197
245,33.7120448880004,32.9728723978598,33.670299287954
246,33.8912766264701,33.0974843172344,33.3610269851762
247,33.5546461906888,32.8859785278303,33.4796232756113
248,33.4988051847996,33.0855733145355,33.5022082876631
249,33.7816188372139,32.7418069433546,33.7306906870493
250,33.7796195394395,33.3022781193503,34.1565754346741
251,33.7950921882218,32.9850400639227,34.0621882316769
252,33.6642213700829,33.3579152655695,33.7199470309563
253,34.0417146667634,32.9446536854631,33.3543501385031
254,33.8582444367559,33.1858162793824,33.4421324094047
255,33.9821654588789,33.4285034999512,33.256969587563
256,33.5856393716315,33.0769828300503,33.396874756688
257,33.7457017991414,32.6611762230331,33.3927269802387
258,34.1233244937968,32.8920421281827,33.9625360008084
259,33.9176477130333,33.2230107928769,33.3108702417096
260,33.4107393628851,33.0983993587968,33.5841374478896
261,33.6508786079773,33.1704172784513,33.5502263282648
262,33.1338654507132,32.9385841886314,33.1778923077337
263,33.2587934126685,32.9683218109033,33.4855592351388
264,33.4937926625173,33.138957763408,33.4846042360098
265,33.485863843455,32.9396868182555,33.3871398389154
266,33.392467758643,32.6691454404399,33.5325699607609
267,33.6935819062657,32.7233920058025,33.4283073617911
268,33.7913270928174,33.1121025021884,33.6342715498693
269,33.1871021260632,33.1049599148708,33.783273817945
270,33.7302615518125,33.4267837505301,33.6753733002111
271,33.3348856538787,33.5056915183625,33.5483196574989
272,33.7815865812345,32.8922600916525,33.2073858477507
273,34.0514981666552,33.0202076027513,33.7814762632357
274,34.0840132753926,33.2767981578168,33.8329258703751
275,33.9113105053591,33.3389301761767,33.5924706539381
276,33.8113546103374,33.2511462578653,33.3970657785857
277,33.9777474424519,32.8028029509463,33.6667397763121
278,33.9542579074703,33.5524538076317,33.550281547892
279,33.9598598002669,33.3433500202518,33.710055657124
280,34.0162817942279,33.59378977035,33.4047786633043
281,33.8639798717549,33.288478978005,33.8964362874737
282,33.9619675442407,33.085966904627,33.4964801709472
283,33.9230012509615,33.1338445829163,33.6333306941187
284,33.832445299204,33.1750068348379,33.67047546102
285,34.1967237625296,33.2860022212972,33.5669124771175
286,33.8124396350865,33.5251600749592,33.3910668687676
287,34.1033743515714,33.2029866457775,33.6617752805856
288,34.0792143058353,33.4278060313985,33.8274856435018
289,33.7507546394784,33.6749923593318,33.7691283745577
290,33.7191046254992,33.1628007004409,33.0031849229361
291,33.9819513718763,32.759487725078,33.5324485396588
292,33.6404092324235,33.0571937585262,33.4057715654416
293,33.8098168004295,33.2983185595981,33.3923074831137
294,33.9590695949485,33.1173795561821,33.5497618290174
295,34.1469004018754,33.0057423360673,33.0799296059046
296,33.7256522965924,32.9119986766344,33.2033324137392
297,33.4606742441191,33.7030230070254,32.9573037899072
298,33.7427552787666,33.8249449429456,33.0847019535685
299,34.1518704475712,33.515595976988,33.2976072690273
300,34.3185962999856,33.2193384651296,33.2957372721577
301,33.7456386110126,33.1437158049231,33.4694208288772
302,33.3846180078023,33.0942336865382,33.2420551995466
303,33.4660599182786,33.1080348729152,33.244216754776
304,34.0361805568902,33.3532491885809,33.4423754950385
305,33.5528195114216,33.0550826396459,33.0152815190567
306,33.849681812063,33.1166900409195,33.5590260028418
307,33.8049530691473,32.7823458188621,33.1258530917121
308,33.8919108841445,33.0494069662604,33.1862033769057
309,33.5221885236514,33.0275459695562,33.4825028894497
310,33.939551167206,33.0068459733483,33.3099682234628
311,33.7753779940444,33.1986068244229,33.2396388279227
312,33.8332352265049,33.195138747774,33.1895853015317
313,33.9708748406466,32.9322288528188,33.1835168167138
314,34.0700033586632,32.5450219532349,33.1658465656124
315,33.9409717338773,33.625188631743,33.4186100625276
316,34.0421437748682,33.5882652580642,33.3222187580071
317,33.8220377793352,32.9925313538034,33.2450155992178
318,34.0584935473922,32.9409723887387,33.5301040694788
319,34.3642136136766,33.2607044954055,33.1592764539817
320,33.8906990007789,33.8238293862551,33.4541722113576
321,33.9254517803763,33.3925483693729,33.8069999094801
322,34.0381768168574,33.0416774381432,33.6444523646891
323,34.1730046858776,33.6539067063737,33.8191466422555
324,34.0174412200569,33.3037731008959,33.3486195725344
325,34.3234154135987,33.4041315341336,33.2341512758421
326,34.2451742298928,32.942929154774,33.7139039796702
327,34.1303028168919,33.3934352047077,33.1956951471322
328,34.3413987452942,33.2776479949071,33.2460656681705
329,34.6275534768947,33.1693916159431,33.4526178960223
330,33.9638169908287,33.5808829089074,33.2323367883848
331,34.4412812152517,32.9034227957879,33.4047297816933
332,34.5330705622874,32.9005900878482,33.0690114628311
333,34.1856198224626,33.3259325745885,33.0296123691102
334,34.3329934597883,33.3252747252006,32.9730952162562
335,34.5750765932241,33.4048850839952,32.7490290871894
336,34.1759329903932,33.9869063026962,33.0761284329562
337,33.583572425648,33.4380090846115,32.7446272010958
338,34.3969255809834,34.1307741753318,33.5835059843913
339,34.2451096658873,33.5430679092076,33.4185179412236
340,33.9054502583492,33.1638106240666,33.0957394271262
341,33.9304322955689,33.0983482949461,33.2194244977364
342,33.4908064294379,33.262065896287,33.4730696967528
343,33.9712820530305,32.4844738661766,32.8683245709299
344,34.2113006214847,32.8917213104157,32.9671813843586
345,33.140148009079,33.1103713503294,33.102517717368
346,34.1199857433722,32.9246603502822,33.0442085618398
347,33.8447404334354,33.4018455356088,32.6856716784437
348,33.6377283562808,33.3099945936253,33.0351005785479
349,34.0043655496974,33.7114634484065,32.969122784464
350,33.8445503003077,33.1904659980419,32.8141996368404
351,33.9960203511896,33.5862987951381,32.8535918593666
352,34.0260402745303,33.239649166173,32.9895714473629
353,33.7242642166504,33.5164079563237,33.0539018068444
354,33.4162171708368,33.4776428395673,33.0760725112206
355,33.3947835961026,33.310410436719,33.2351801780084
356,33.634718109115,33.7892559565556,33.240844420191
357,33.6949649934765,33.7227097947274,33.0684958093368
358,33.2831257823261,33.3111079752912,33.2681663153112
359,33.3910616384051,32.9847656454475,33.0644042454684
360,34.1949020771115,33.3451130445005,33.1099267789506
361,33.5085714031495,33.0467686667487,33.1689741182336
362,34.1338576923047,32.7937414950058,33.3758544422542
363,34.0601536671681,33.2922746651709,33.4672951746905
364,33.8497211994974,33.3895735801007,33.2721854699846
365,33.7536609190635,33.2917972717012,33.2439554778072
366,34.1246101910095,33.0644653875853,33.1092643486518
367,33.977511521072,33.2294885882847,33.1683647551492
368,33.7219115214018,33.0639442432051,32.9706528558803
369,33.7052315047607,33.0915162574308,32.5805449737589
370,33.4763510768435,32.8406270712798,32.8406982115605
371,34.0232725249607,32.890039024421,33.2002337565331
372,33.3937233407296,32.7582440474611,32.6367884202191
373,33.7614664414188,33.2878235133699,32.925148378565
374,33.5119729228621,33.3973146895457,33.449434489149
