frame,R1,R2,R3
1,23.8072905094002,23.8072905094002,23.8072905094002
2,23.8719698077987,23.9369860010806,24.037323770204
3,24.3935224674716,23.8138980071729,24.3354941789661
4,24.7389389932535,23.9946392085104,24.3450434862631
5,24.518264499284,24.1371694300548,24.1943159192873
6,24.5677000405227,24.0005371436551,24.915841852021
7,24.4818363138107,23.9557154505344,25.2001631721201
8,24.4407062667377,24.2085293499975,25.5728642823858
9,24.4855622237744,24.7046734396159,25.4993332720831
10,24.5589948402994,24.524852347895,25.5082887811186
11,24.5922898739164,24.4009365323565,25.794035797473
12,24.3972026504489,24.5358554064612,25.525636667363
13,24.6548713480461,24.7975841927019,25.7180343138758
14,24.5187460517672,24.6354248644015,25.6788077574164
15,24.2645322051853,24.4398127224011,25.5320772290686
16,24.6219601901449,24.6468945285313,25.610569090945
17,24.5303204870118,24.7079613725178,25.5058898741982
18,24.5718997630634,24.9010692432236,25.0358761914167
19,24.7634439164832,24.7124339768958,25.014376975522
20,24.5778150042641,24.7743163446543,25.0466985506358
21,24.6765766054137,25.0444748270324,25.8683561193386
22,24.5660302284965,25.0915325428615,25.8068534892419
23,24.4817628394584,24.8942913725405,26.0967927449128
24,24.355620296509,25.1493167574323,26.2974232724558
25,24.4672205607258,24.6411902554647,26.2257703542302
26,24.4584667155754,25.1364567987038,26.2669530118073
27,24.3585011327424,24.9920941534921,26.6004691517094
28,24.3890430307838,25.1119276017084,26.7211719716986
29,24.9121572964368,25.229607309668,26.9055150323537
30,25.0345766765553,24.7605814068676,26.2957208208478
31,24.7459301633346,24.4666431925001,27.0677028648779
32,25.1697421586131,24.6084591668298,26.7790601698171
33,25.0506911261714,24.319329976536,26.2427505060651
34,25.2860441269196,24.6226552943294,27.0977383447788
35,25.3934253732809,24.6059792743271,27.2032717728976
36,25.2922385079168,24.574171612663,26.4461518593737
37,25.3516499061584,24.5798371146031,26.6397093110029
38,25.6626691403483,24.4631962235073,26.169820277316
39,25.7105600145926,24.5394661470697,26.0826343416969
40,25.850206487308,24.4067354640405,25.7238823512407
41,25.2545650062025,24.7170715576373,26.2288163634015
42,25.7858584027149,24.6098884794048,26.3579175153172
43,25.277419784671,25.1442614837291,26.2827433502688
44,24.8195679846826,25.2002434032448,25.7436529874317
45,25.1300971397884,25.4233082528571,26.0085500936903
46,25.2377899680549,25.16016738343,26.1399965257131
47,25.5139205826928,25.0507338780092,26.5377246743599
48,25.5896685288426,25.6281055343562,26.2161668203435
49,25.3657432426723,25.5619751194868,26.9183569906971
50,25.525837113151,25.4012634911369,26.3110346021368
51,25.7574907921474,25.3298345716125,26.4533773741325
52,25.8944433707232,25.4835239576491,26.4523226715866
53,26.1242257267367,25.4707214668653,26.1048161679864
54,25.7328260996073,25.4214555188248,26.5770589339134
55,26.0716682774924,25.419917984916,26.1627443518189
56,25.7779505530742,25.122084282544,26.4076692558293
57,26.3854721513186,24.8024788776538,25.8225458213374
58,26.7846132668464,25.4872340527802,25.6386236944896
59,26.7691862448805,25.574627892576,25.9953092444911
60,26.4848670947826,25.2903462758628,26.4519104908709
61,26.6978229100929,25.119727751273,26.0455649055509
62,26.7775172689484,25.5571651756649,26.283088561151
63,26.6462726571683,25.6358782834872,26.4799711489639
64,26.6221221713546,25.7738012854323,26.2682503914738
65,26.5971047499114,25.2815940383432,26.3375305253432
66,26.1500507130575,25.0426246782796,26.3581607855511
67,26.5719186852619,24.8221633781709,25.9553852048916
68,26.2221228082752,24.8460330813884,26.3896839890734
69,26.3084653401389,24.7948274058229,25.8418725852228
70,26.5134399326842,25.0699502979518,26.2164562804732
71,26.4611294275982,24.8802516827778,26.1169828929644
72,26.4396111359542,25.0027422030618,26.1830329798219
73,26.1797904336674,25.0394550671698,25.6909780921947
74,26.4242881356036,24.9110329428029,26.6639886292044
75,25.8689333689811,25.0770978236714,26.1291930400392
76,26.5331350205617,25.233328512128,26.3651533145801
77,26.5290096451842,24.9693756900853,26.3024482899085
78,27.1511749011917,24.6858906498697,26.2244359494064
79,27.2466620527574,25.2283684313227,26.0201724658813
80,26.6393845084945,25.0230250951461,25.5854005874956
81,26.5589058876091,24.6587278888518,25.8049490907742
82,26.0720801956809,24.941055757148,26.1754755429397
83,25.8748819277107,25.1386815173175,25.7135701832869
84,25.6985289649533,24.8844132512424,26.6026553822886
85,26.2506903743286,24.7277506531918,26.5959107881607
86,25.705405211161,24.8496259434248,25.9689175646319
87,25.676753076135,24.5961680805085,26.30180133657
88,25.9317170793985,24.7346842013559,25.9372257588227
89,26.1319548274272,25.0805316242701,26.112588877546
90,25.881979139243,25.0380923725507,26.3604109006777
91,25.640093200418,24.9527398720344,26.5213152854219
92,25.6909262100312,24.9394810652131,27.0125823861191
93,25.9833519438879,25.2120418260225,26.944014906018
94,26.040097857076,25.0594267359076,27.0416479252103
95,26.4292868096485,24.6293625542378,26.3734142853331
96,26.3391633262477,24.835208943468,26.2278879710635
97,26.6615302857925,24.8039602184532,26.5863223676802
98,26.6811967780775,24.8624757675242,26.1943564201009
99,26.8540197349573,25.116283528298,26.4868200598501
100,26.9600045676572,24.6965091589828,26.1410880368552
101,26.9627766590597,25.0504630598825,26.3267749323245
102,27.1601451775613,24.9126674101212,26.4245714696358
103,26.7395760447641,24.6366684141723,26.4122553068228
104,26.7336522104602,24.7874640981705,26.6613473418981
105,26.2867540709462,24.6608925304861,26.2987268006586
106,26.730392625012,24.4047148659569,26.3582737569758
107,26.4887888166948,24.7828937190752,26.9528523989431
108,26.3777523892427,24.9169713543913,26.9719208851257
109,26.1094788775815,24.7054743963704,26.5895475081101
110,26.2421661510206,25.0489837643101,26.7587279415589
111,26.3115377039279,25.0285348078101,26.0731970944072
112,26.7559851986782,24.8743565896615,25.4147208423166
113,26.7526631655591,24.9823788819967,25.6781967725655
114,26.7340649492323,24.8502723646059,26.3021955521207
115,26.1445464126114,24.6886091289967,26.4191114314284
116,26.7625214832636,24.7573633667232,25.6000828506548
117,26.708688953655,24.784286100231,26.0237192648925
118,26.4311801176565,24.4369814998355,26.5610884470584
119,26.4081034111596,25.0282668268295,26.2406696866239
120,26.8841198241577,24.8939240727394,26.3479733503387
121,26.789199499381,24.9277670156347,25.9034190716419
122,26.6886587891012,25.0081587489301,26.5346611513056
123,26.3101062295994,25.1692041088699,26.3236588549826
124,25.937643719933,25.0702783248847,25.9500703741534
125,26.1130318596468,24.870791387631,26.5708239156754
126,26.4851814075259,24.9187104281621,26.2028696215087
127,26.5880150905208,24.8796694851626,26.2093103798042
128,26.7227454996788,24.5701684313028,26.5483801582631
129,26.6835665712582,24.3109408798643,26.6990449002495
130,26.5678793247175,24.3267069332217,26.3029121994494
131,26.4518462262493,24.1680723441536,26.1670390649917
132,26.4919784153622,24.5824839715719,26.1845209256652
133,26.2264236480196,24.3439441252611,26.5816145050388
134,26.2033655048541,24.1619387758596,26.2615614654519
135,26.0931529590808,24.1141787849296,26.5416916579666
136,26.4373469788023,24.5056214317834,26.6580367677101
137,26.1424750649034,24.410732333574,27.220077687455
138,26.1478982212634,24.1686042300874,26.726371305242
139,26.2887547265455,24.5275269434278,26.765798746469
140,26.8360526075461,24.6944112513784,26.815295615991
141,26.3831534620191,24.5591650197582,26.8462159454674
142,26.5300603482833,24.4805115860555,26.6757259122222
143,26.4310799886435,24.5797965845795,26.6945236889857
144,26.4660978240721,24.5203291250767,26.1282087549196
145,26.5138397579899,24.7892755013864,26.3714516495515
146,26.496934515657,24.9370731773621,26.0728351000119
147,26.4749249120137,24.7054399625141,25.9413261170606
148,26.3739061572713,24.4441958283171,26.0269938998862
149,26.0995462777623,24.8251595127904,26.500474030163
