protein,replicate,selection,stat,pval,pass
1dd3_A,1,all,0.64892792560062,1.39009209347824e-12,TRUE
1dd3_A,1,bb,0.199431671402738,0.153154730860922,FALSE
1dd3_A,1,ca,0.494187548437096,2.97322882904763e-07,TRUE
1dd3_A,2,all,0.3304055799535,0.00190499766753352,TRUE
1dd3_A,2,bb,0.329113924050633,0.00198418096120485,TRUE
1dd3_A,2,ca,0.395763368638595,9.14648158572141e-05,TRUE
1dd3_A,3,all,0.363988633428055,0.000431781351169233,TRUE
1dd3_A,3,bb,0.34513045724619,0.00101621116865977,TRUE
1dd3_A,3,ca,0.34590545078791,0.000972500739643695,TRUE
1dlj_A,1,all,0.852495543672014,7.49814059011442e-64,TRUE
1dlj_A,1,bb,0.897058823529412,1.17646546752658e-70,TRUE
1dlj_A,1,ca,0.827688651218063,3.25488939456125e-60,TRUE
1dlj_A,2,all,0.236779560308972,2.558974015e-05,TRUE
1dlj_A,2,bb,0.240196078431373,1.84435678574585e-05,TRUE
1dlj_A,2,ca,0.201277480689245,0.000582561212552028,TRUE
1dlj_A,3,all,0.131758764111705,0.0610819584594167,FALSE
1dlj_A,3,bb,0.133541295306001,0.0555448472978712,FALSE
1dlj_A,3,ca,0.0903149138443256,0.385453623694254,FALSE
1e7l_B,1,all,0.619073083778966,2.17223091248146e-13,TRUE
1e7l_B,1,bb,0.477718360071301,6.21659933180101e-08,TRUE
1e7l_B,1,ca,0.529411764705882,9.98713515465779e-10,TRUE
1e7l_B,2,all,0.435650623885918,1.22715807160292e-06,TRUE
1e7l_B,2,bb,0.26524064171123,0.0102010962332199,TRUE
1e7l_B,2,ca,0.264705882352941,0.0104303538740787,TRUE
1e7l_B,3,all,0.445454545454545,6.29508543651591e-07,TRUE
1e7l_B,3,bb,0.483778966131907,3.67518734261059e-08,TRUE
1e7l_B,3,ca,0.205347593582888,0.0818064857813045,FALSE
1fn9_B,1,all,0.0880602240896359,0.194164543473993,FALSE
1fn9_B,1,bb,0.105217086834734,0.0717131233866107,FALSE
1fn9_B,1,ca,0.104166666666667,0.0766143833592631,FALSE
1fn9_B,2,all,0.0441176470588235,0.931663458973818,FALSE
1fn9_B,2,bb,0.0526960784313725,0.798070402140758,FALSE
1fn9_B,2,ca,0.0612745098039216,0.625069899817118,FALSE
1fn9_B,3,all,0.0386904761904762,0.978028314847332,FALSE
1fn9_B,3,bb,0.0334383753501401,0.99603280753235,FALSE
1fn9_B,3,ca,0.0535714285714286,0.781399900598127,FALSE
