protein	ratio
6xrx_A	0.501
2r31_A	0.503
1yqe_A	0.508
2bln_B	0.517
1vaj_A	0.518
1t7v_A	0.519
1zxx_A	0.519
7zh9_A	0.519
1k5n_A	0.525
3bqk_A	0.525
2wlt_A	0.53
5njl_A	0.536
1e7l_B	0.539
3cml_A	0.54
3ib5_A	0.54
6e5y_A	0.545
2gwm_A	0.55
1nns_A	0.552
1ls1_A	0.553
2h2z_A	0.553
7buy_A	0.553
1y6i_A	0.564
3jsy_B	0.566
2ehq_A	0.568
6o6y_A	0.571
1nij_A	0.574
4wt3_A	0.578
2wr8_A	0.579
6ne6_A	0.589
8b3w_A	0.593
7ned_A	0.601
6xds_A	0.603
3wkx_A	0.604
7dif_A	0.604
1tez_B	0.607
7egs_A	0.612
4reo_A	0.613
3b4w_A	0.618
1dd3_A	0.62
3gqv_A	0.62
4mb5_A	0.625
5t76_A	0.629
4cdp_A	0.631
4jgi_B	0.636
4bt9_A	0.637
1fn9_B	0.644
5wvo_C	0.645
1tzw_A	0.651
2rbk_A	0.652
7ccg_A	0.652
2jhf_B	0.655
2vfq_A	0.664
5gof_A	0.688
4gv2_A	0.692
3hdj_B	0.701
5h7w_B	0.701
7jrq_A	0.701
4jgi_A	0.702
1vk1_A	0.704
2gwn_A	0.706
6h49_A	0.707
1nty_A	0.709
4e40_A	0.714
1qcs_A	0.715
4kk7_A	0.717
5lpa_A	0.72
5lpa_B	0.72
4adn_A	0.721
4a3p_A	0.722
1vct_A	0.723
2d5b_A	0.742
4fhr_B	0.742
4lq4_A	0.744
2yp8_A	0.747
3igz_B	0.753
1jq5_A	0.754
2v9m_A	0.756
4o87_A	0.758
1g38_D	0.762
2cxi_A	0.766
2cxi_B	0.766
1n7z_B	0.777
5yrt_C	0.779
5yrv_I	0.779
6kty_A	0.782
5htl_A	0.79
1qlm_A	0.795
3k29_A	0.798
3b9q_A	0.808
3g3s_B	0.818
4ea9_A	0.818
2qia_A	0.819
4mp8_A	0.823
1rl6_A	0.825
3djl_A	0.828
3lyf_D	0.828
2yjg_A	0.832
1o98_A	0.838
5l0r_A	0.84
5l0s_A	0.84
2wzb_A	0.841
8ezh_B	0.843
2d1l_A	0.847
2ex2_A	0.854
3hol_A	0.858
3bpt_A	0.862
2gg6_A	0.865
3wa1_A	0.87
1zjc_A	0.874
2gqt_A	0.874
2rij_A	0.888
4fch_B	0.889
1y7t_B	0.89
16pk_A	0.904
1wlg_A	0.904
3d3y_A	0.906
2bbr_A	0.912
5njb_B	0.915
5njc_D	0.915
1rrm_A	0.92
5imu_A	0.924
1dj0_B	0.927
3wwh_A	0.93
6h95_A	0.932
3n8u_A	0.941
3oyv_A	0.941
4ywk_A	0.943
4ywk_B	0.943
3hlz_B	0.949
6sdk_A	0.951
1uha_A	0.952
2x49_A	0.959
3hlz_A	0.964
4cjn_A	0.969
1m5q_Z	0.97
1dlj_A	0.971
1lsl_A	0.982
2bjq_A	0.994
1m5q_I	1
